time,pv_power,radiation,windspeed,env_temperature,pressure,humidity,component_temperature,mark
2024-09-25 22:40:00,0.0,0.0,0.0,24.7,1006.2,71.9,23.7,0
2024-11-04 04:20:00,0.0,0.0,0.5,17.7,1016.4,86.3,17.1,0
2024-02-04 23:20:00,0.0,0.0,0.0,-2.6,1025.6,89.0,-4.8,0
2024-10-20 22:30:00,0.0,0.0,2.2,10.5,1019.0,93.5,9.7,0
2024-12-29 14:15:00,61.3013,452.2,1.4,15.3,1017.2,31.4,17.5,0
2024-08-01 18:10:00,1.5409,0.0,0.8,31.7,995.2,77.7,31.0,-2
2024-01-19 11:50:00,6.5656,46.55,1.7,3.3,1020.5,89.4,2.2,0
2024-10-30 02:30:00,0.0,0.0,0.5,14.3,1011.6,91.0,14.5,0
2024-12-04 01:55:00,0.0,0.0,1.4,9.6,1016.9,78.6,9.3,0
2024-12-29 05:35:00,0.0,0.0,0.0,-1.1,1021.4,87.1,-1.5,0
2024-04-14 21:50:00,0.0,0.0,0.8,21.4,1004.5,98.8,20.2,0
2024-11-08 13:30:00,27.1334,209.0,0.0,25.4,1015.7,38.1,24.5,0
2024-04-30 06:40:00,0.4355,0.0,2.2,15.7,1002.4,96.5,14.8,-2
2024-09-02 02:40:00,0.0,0.0,0.0,29.9,999.8,83.8,29.0,0
2024-03-12 22:50:00,0.0,0.0,2.1,16.3,1013.7,64.0,15.7,0
2024-07-11 06:00:00,1.1389,0.0,0.0,26.3,997.3,92.5,25.6,-2
2024-05-04 09:00:00,4.9242,32.3,0.8,15.2,1007.3,98.0,14.3,0
2024-01-21 01:50:00,0.0,0.0,0.0,0.7,1025.5,88.5,-1.2,0
2024-07-05 02:30:00,0.0,0.0,1.2,28.7,997.2,80.4,27.8,0
2024-09-15 18:50:00,0.0,0.0,1.4,28.4,1000.7,77.2,27.8,0
2024-04-14 03:10:00,0.0,0.0,0.0,20.7,1001.5,100.0,19.5,0
2024-02-18 04:30:00,0.0,0.0,1.2,16.0,997.5,84.6,14.9,0
2024-12-04 01:00:00,0.0,0.0,1.0,10.0,1017.1,75.8,9.5,0
2024-12-20 13:30:00,66.795,482.6,1.5,13.3,1018.2,34.5,11.7,0
2024-05-18 08:10:00,36.1108,283.1,1.9,25.7,1003.5,78.7,27.5,0
2024-02-24 15:00:00,10.5519,148.2,1.4,1.5,1026.3,69.8,1.1,-2
2024-11-23 09:05:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-02-05 00:00:00,0.0,0.0,0.0,-2.4,1026.2,89.3,-4.0,0
2024-09-08 15:20:00,39.5946,379.05,0.7,35.9,1001.6,62.8,37.7,0
2024-07-19 23:40:00,0.0,0.0,1.7,31.4,996.6,70.9,30.6,0
2024-09-30 17:50:00,0.0,0.0,7.1,19.4,1009.5,79.0,19.3,0
2024-08-04 16:00:00,64.5506,572.85,2.2,38.3,998.3,56.8,37.5,0
2024-11-15 21:35:00,0.0,0.0,0.3,20.5,1008.7,86.0,20.0,0
2024-06-16 16:40:00,17.5194,133.0,3.5,33.5,995.7,64.0,33.8,0
2024-04-04 23:30:00,0.0,0.0,1.5,14.6,1014.8,91.5,13.8,0
2024-07-13 01:00:00,0.0,0.0,1.0,30.8,992.3,83.0,30.0,0
2024-01-01 07:20:00,0.0,0.0,0.0,6.2,1023.0,65.6,5.4,0
2024-10-09 01:10:00,0.0,0.0,0.5,19.6,1013.8,78.3,19.3,0
2024-07-03 04:00:00,0.0,0.0,0.8,24.6,999.3,92.4,23.5,0
2024-06-27 14:40:00,13.4327,131.1,1.2,22.4,1004.3,92.2,21.7,0
2024-05-04 09:50:00,10.7529,122.55,1.7,15.6,1007.5,96.1,15.0,0
2024-05-12 19:50:00,0.0,0.0,0.0,24.4,1008.5,66.1,23.5,0
2024-06-05 23:30:00,0.0,0.0,0.0,18.6,1009.0,96.1,17.3,0
2024-03-06 20:40:00,0.0,0.0,1.0,11.3,1017.1,75.3,10.0,0
2024-07-21 10:00:00,29.0093,690.65,1.0,37.3,999.3,60.2,43.9,-3
2024-04-19 13:40:00,17.285,193.8,1.4,20.8,997.6,89.2,20.7,0
2024-12-03 03:30:00,0.0,0.0,6.1,13.2,1013.2,59.1,12.9,0
2024-09-19 20:00:00,0.0,0.0,0.7,28.1,1001.0,79.3,27.0,0
2024-07-05 01:20:00,0.0,0.0,0.8,29.2,998.0,78.7,28.3,0
2024-05-12 15:40:00,34.9719,266.95,1.2,30.1,1008.5,42.0,31.3,0
2024-02-27 01:20:00,0.0,0.0,0.7,3.0,1025.9,80.5,1.5,0
2024-11-20 13:55:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-03-28 13:30:00,10.1834,798.95,1.2,28.0,1009.0,55.9,32.4,-2
2024-08-19 23:10:00,0.0,0.0,0.5,28.8,998.8,85.3,27.8,0
2024-12-24 16:40:00,9.7479,84.55,0.3,9.6,1020.9,48.3,9.5,0
2024-09-18 09:40:00,66.4935,574.75,1.2,36.5,1004.7,51.4,44.5,0
2024-12-16 20:25:00,0.0,0.0,0.0,6.0,1017.8,58.2,7.2,0
2024-08-29 04:40:00,0.0,0.0,0.3,25.0,1001.5,84.4,24.0,0
2024-01-21 06:50:00,0.0,0.0,0.0,1.2,1026.5,86.3,0.1,0
2024-12-10 14:00:00,5.2592,39.9,3.5,6.9,1016.0,68.8,6.2,0
2024-12-06 01:55:00,0.0,0.0,0.0,10.3,1017.3,89.3,9.3,0
2024-01-14 14:30:00,26.3629,205.2,6.8,16.6,1017.3,66.1,16.8,0
2024-01-23 12:40:00,95.4693,657.4,4.0,2.5,1036.7,37.6,4.9,0
2024-06-24 09:50:00,45.2558,379.05,1.9,30.3,1001.0,76.2,31.9,0
2024-12-01 17:35:00,0.0,0.0,0.5,17.8,1006.5,56.8,18.5,0
2024-11-20 04:45:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-02-14 05:10:00,0.0,0.0,1.0,12.9,1009.4,88.7,11.6,0
2024-05-03 00:40:00,0.0,0.0,0.0,17.4,1009.5,94.0,16.2,0
2024-02-08 13:10:00,41.4035,640.3,0.5,9.4,1022.0,52.7,16.1,0
2024-12-20 16:00:00,22.9126,167.2,1.2,11.9,1016.8,39.4,13.6,0
2024-09-29 20:50:00,0.0,0.0,1.9,29.0,1003.5,71.8,28.4,0
2024-12-13 20:10:00,0.0,0.0,0.5,7.7,1027.6,56.0,6.7,0
2024-11-03 18:40:00,0.0,0.0,0.0,19.9,1013.9,65.5,21.7,0
2024-05-24 07:10:00,17.8544,194.75,2.2,27.4,1002.8,78.6,29.1,0
2024-10-08 14:00:00,55.7407,622.25,3.3,27.4,1014.6,45.4,27.8,0
2024-12-15 11:30:00,61.2678,534.85,1.5,12.0,1026.3,42.9,9.7,0
2024-04-11 22:40:00,0.0,0.0,0.0,17.4,1010.5,100.0,16.1,0
2024-09-05 15:30:00,63.3112,528.2,3.5,36.6,998.9,58.0,36.4,0
2024-03-26 06:30:00,0.0,0.0,0.0,7.7,1018.8,100.0,6.2,0
2024-06-07 22:30:00,0.0,0.0,0.0,23.6,1003.0,90.4,22.3,0
2024-11-20 12:35:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-08-23 04:10:00,0.0,0.0,0.8,29.5,999.4,84.8,28.6,0
2024-05-15 12:00:00,88.1332,836.0,4.3,33.2,1013.0,40.5,36.7,0
2024-12-20 05:30:00,0.0,0.0,0.3,-0.7,1019.7,87.9,-1.5,0
2024-11-08 20:00:00,0.0,0.0,0.7,18.4,1015.4,66.9,18.4,0
2024-01-30 20:00:00,0.0,0.0,0.0,8.7,1015.7,86.5,7.4,0
2024-11-15 19:40:00,0.0,0.0,0.7,21.3,1008.0,83.4,20.7,0
2024-11-24 22:50:00,0.0,0.0,2.4,11.5,1016.5,94.8,10.7,0
2024-09-11 21:10:00,0.0,0.0,2.2,26.4,1006.6,82.7,25.4,0
2024-06-27 10:30:00,16.347,159.6,1.5,22.4,1005.7,91.8,21.8,0
2024-11-17 11:35:00,0.0,73.15,3.5,12.2,1021.4,87.8,11.5,-2
2024-05-28 07:10:00,20.0653,245.1,2.6,22.3,1004.1,67.3,24.0,0
2024-12-06 14:00:00,25.4585,198.55,1.4,15.9,1016.0,58.1,14.7,0
2024-02-29 03:10:00,0.0,0.0,2.8,4.6,1022.0,84.9,3.1,0
2024-08-20 16:50:00,39.8291,361.95,1.5,34.8,997.2,60.6,34.9,0
2024-10-11 00:50:00,0.0,0.0,0.5,19.2,1010.2,85.7,19.9,0
2024-02-26 04:00:00,0.0,0.0,0.3,2.2,1023.8,80.7,0.7,0
2024-05-19 22:40:00,0.0,0.0,1.0,22.7,1003.9,89.9,21.9,0
2024-06-02 06:10:00,2.0769,17.1,0.3,22.7,1005.0,81.6,21.9,0
2024-02-17 06:30:00,0.0,0.0,1.0,9.0,1006.3,88.9,7.5,0
2024-06-18 22:00:00,0.0,0.0,0.7,25.3,997.3,92.5,24.3,0
2024-08-24 05:30:00,0.0,0.0,1.7,29.7,1000.6,84.3,28.9,0
2024-03-13 19:50:00,0.0,0.0,0.0,13.9,1012.9,87.5,12.7,0
2024-12-26 16:05:00,5.8956,46.55,0.0,10.4,1023.0,58.9,9.1,0
2024-01-23 05:10:00,0.0,0.0,1.2,-4.6,1036.6,70.6,-6.4,0
2024-11-13 04:50:00,0.0,0.0,1.2,17.2,1008.5,89.8,16.8,0
2024-12-25 03:55:00,0.0,0.0,0.3,5.3,1021.3,73.2,4.2,0
2024-02-29 07:00:00,0.0,0.0,0.5,3.2,1022.3,87.1,1.4,0
2024-01-11 15:50:00,35.5079,253.65,1.0,18.0,1012.8,52.3,18.9,0
2024-03-03 16:50:00,4.7232,34.2,1.7,10.2,1006.7,68.4,9.6,0
2024-04-14 23:20:00,0.0,0.0,0.0,20.6,1004.8,100.0,19.6,0
2024-04-30 10:20:00,12.3608,95.95,3.1,15.4,1006.1,88.9,15.3,0
2024-08-08 23:00:00,0.0,0.0,1.4,32.5,995.4,71.1,31.7,0
2024-07-08 04:00:00,0.0,0.0,3.6,30.1,995.3,74.7,29.3,0
2024-06-13 18:30:00,3.2493,32.3,1.7,33.3,992.9,66.2,32.5,0
2024-11-29 09:30:00,27.1334,373.35,1.0,12.9,1020.9,68.5,10.8,0
2024-11-09 22:15:00,0.0,0.0,0.0,15.3,1016.3,84.6,14.9,0
2024-12-04 09:40:00,6.9006,53.2,2.2,8.9,1018.7,91.2,8.0,0
2024-10-26 22:00:00,0.0,0.0,1.0,20.5,1013.6,62.3,19.7,0
2024-12-09 02:40:00,0.0,0.0,0.0,7.8,1020.4,65.2,6.4,0
2024-02-21 15:30:00,6.2641,42.75,3.1,-1.8,1019.4,85.8,-2.8,0
2024-04-18 15:40:00,51.4194,400.9,2.9,25.7,1001.3,54.1,26.7,0
2024-03-15 20:50:00,0.0,0.0,0.0,16.3,1012.1,83.2,15.1,0
2024-09-24 23:40:00,0.0,0.0,0.0,18.3,1006.7,85.3,17.1,0
2024-08-23 05:10:00,0.0,0.0,1.4,29.2,999.5,85.9,28.2,0
2024-07-19 20:40:00,0.0,0.0,1.9,31.8,996.1,69.6,31.3,0
2024-10-09 07:00:00,4.5222,42.75,0.0,17.2,1012.4,85.8,17.7,0
2024-02-11 06:00:00,0.0,0.0,0.0,2.9,1024.1,96.1,0.9,0
2024-10-03 21:50:00,0.0,0.0,0.0,19.3,1016.0,61.6,19.0,0
2024-02-26 19:10:00,0.0,0.0,1.0,3.5,1024.4,74.9,2.3,0
2024-09-22 13:40:00,85.0179,786.6,2.1,26.8,1013.6,44.4,31.4,0
2024-01-09 13:00:00,71.3507,498.75,0.7,18.9,1015.2,53.0,25.2,0
2024-09-27 13:40:00,58.3535,269.8,1.7,34.1,1004.5,48.3,34.3,-3
2024-12-21 08:20:00,5.0247,42.75,0.5,5.1,1024.6,72.8,4.4,0
2024-12-22 17:10:00,0.0,0.0,2.2,3.8,1023.9,43.5,3.3,0
2024-05-25 12:40:00,91.5835,842.65,2.9,38.2,1000.9,48.7,41.8,0
2024-09-02 01:50:00,0.0,0.0,0.5,30.6,999.9,80.4,29.7,0
2024-11-13 03:40:00,0.0,0.0,0.7,18.0,1008.9,87.2,17.6,0
2024-07-15 11:40:00,49.2421,425.6,1.0,34.2,1001.6,69.9,37.5,0
2024-03-19 17:50:00,9.9824,83.6,0.8,19.0,1019.2,56.9,17.8,0
2024-11-10 21:10:00,0.0,0.0,0.0,15.4,1014.2,85.4,16.8,0
2024-11-14 01:50:00,0.0,0.0,0.0,18.5,1008.1,88.3,18.3,0
2024-11-29 18:40:00,0.0,0.0,0.3,12.7,1014.3,60.4,13.6,0
2024-12-13 17:40:00,0.0,0.0,1.0,8.2,1025.1,51.6,7.4,0
2024-05-09 01:20:00,0.0,0.0,0.0,21.1,1010.6,86.7,19.7,0
2024-11-29 06:05:00,0.0,0.0,0.5,4.9,1019.4,92.7,4.4,0
2024-02-07 11:20:00,1.3734,136.8,0.8,3.1,1025.0,72.2,0.9,-2
2024-09-01 19:00:00,0.0,0.0,1.4,34.2,998.5,66.4,33.4,0
2024-08-19 19:00:00,0.469,0.0,1.4,31.6,995.7,73.9,30.7,-2
2024-09-11 11:40:00,85.4199,549.1,4.0,31.8,1008.2,66.4,36.4,0
2024-03-17 09:30:00,6.4986,51.3,1.4,16.1,1014.4,96.0,15.3,0
2024-05-03 15:50:00,5.8956,46.55,2.4,15.4,1006.5,98.8,14.8,0
2024-04-05 10:10:00,19.8978,142.5,2.8,14.5,1014.0,81.0,14.8,0
2024-12-13 06:30:00,0.0,0.0,0.0,3.4,1024.9,83.0,2.3,0
2024-12-24 16:55:00,6.0296,51.3,0.8,8.8,1020.8,50.9,8.9,0
2024-02-26 09:20:00,6.7666,73.15,1.0,3.4,1025.9,78.4,2.9,0
2024-06-21 15:40:00,11.3223,88.35,2.1,32.9,992.6,73.9,32.9,0
2024-05-10 20:50:00,0.0,0.0,1.0,23.9,1003.5,83.4,23.1,0
2024-10-02 01:30:00,0.0,0.0,0.5,19.8,1015.8,57.1,18.8,0
2024-12-10 14:40:00,4.0198,23.75,1.9,5.4,1015.7,79.3,4.9,0
2024-11-21 12:25:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-11-30 09:10:00,10.8534,85.5,0.5,10.4,1013.8,75.3,9.2,0
2024-04-04 11:10:00,25.5925,176.7,2.2,13.2,1012.1,95.3,12.5,0
2024-03-22 12:20:00,9.9824,516.8,2.4,25.2,998.9,61.3,28.7,-2
2024-05-13 19:10:00,0.0,0.0,1.7,27.3,1006.7,58.7,26.1,0
2024-12-08 17:05:00,0.67,0.0,2.9,8.7,1022.6,51.3,8.0,-2
2024-06-18 10:40:00,30.9856,258.4,1.2,29.3,999.1,75.8,30.3,0
2024-03-09 17:40:00,6.5656,51.3,0.8,16.2,1015.7,58.2,15.7,0
2024-02-16 03:10:00,0.0,0.0,0.0,8.6,1021.8,69.6,7.0,0
2024-06-27 17:40:00,1.8759,0.0,0.8,22.2,1003.0,94.4,21.2,-2
2024-12-18 18:05:00,0.0,0.0,2.1,7.2,1026.0,47.2,6.7,0
2024-02-18 05:10:00,0.0,0.0,2.4,18.0,997.3,82.5,17.4,0
2024-10-12 20:10:00,0.0,0.0,0.8,20.5,1011.8,75.2,20.8,0
2024-09-21 21:10:00,0.0,0.0,1.2,24.1,1010.7,57.7,23.3,0
2024-05-25 18:30:00,6.0296,77.9,2.8,34.9,997.4,54.1,34.6,0
2024-11-15 12:45:00,15.4091,201.4,0.8,22.8,1008.1,76.7,22.5,0
2024-07-09 07:00:00,6.1971,56.05,2.4,29.7,995.4,78.0,29.5,0
2024-12-29 12:35:00,67.0295,560.5,1.9,14.3,1019.9,27.1,11.4,0
2024-05-28 08:50:00,49.0411,568.1,3.1,26.0,1004.8,58.6,29.2,0
2024-05-29 10:00:00,48.0696,420.85,0.8,29.8,1001.6,49.7,32.8,0
2024-01-18 06:10:00,0.0,0.0,0.8,4.9,1017.7,92.1,3.7,0
2024-03-17 01:20:00,0.0,0.0,0.0,16.6,1012.6,88.2,15.3,0
2024-06-14 18:20:00,11.5903,130.15,1.4,34.6,992.9,61.4,34.6,0
2024-10-28 23:00:00,0.0,0.0,0.0,14.9,1011.8,86.9,15.7,0
2024-04-28 09:10:00,51.2184,351.5,1.0,27.3,1001.9,75.4,30.9,0
2024-05-18 04:40:00,0.0,0.0,0.7,23.8,1002.6,84.1,22.8,0
2024-06-06 01:30:00,0.0,0.0,0.0,18.4,1008.5,98.6,17.3,0
2024-12-26 22:15:00,0.0,0.0,0.0,8.1,1025.5,71.9,7.0,0
2024-03-13 17:30:00,5.0582,38.95,0.0,15.2,1012.0,82.1,14.3,0
2024-12-26 13:00:00,7.9055,57.95,1.2,9.3,1024.8,59.0,8.4,0
2024-11-16 02:35:00,0.0,0.0,1.0,20.1,1010.2,85.7,19.5,0
2024-12-11 17:50:00,0.0,0.0,1.4,8.0,1020.9,59.8,7.7,0
2024-12-15 18:10:00,0.0,0.0,0.7,8.8,1022.5,50.3,9.4,0
2024-08-05 22:50:00,0.0,0.0,0.7,32.0,997.4,75.7,31.3,0
2024-08-23 22:40:00,0.0,0.0,0.5,32.2,1000.6,76.5,31.4,0
2024-11-20 17:40:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-06-05 23:50:00,0.0,0.0,0.0,18.5,1008.9,96.5,16.9,0
2024-03-30 08:40:00,47.6677,387.6,1.7,24.7,1003.3,62.0,29.7,0
2024-03-25 13:30:00,34.0675,242.25,1.4,14.5,1014.9,78.4,15.1,0
2024-10-12 14:20:00,16.2465,119.7,2.2,24.7,1010.8,61.8,23.3,0
2024-12-21 18:40:00,0.0,0.0,2.2,8.2,1024.7001,45.0,7.5,0
2024-09-01 07:10:00,11.0208,121.6,0.3,30.4,1001.8,81.7,32.5,-2
2024-03-15 14:20:00,12.3943,88.35,0.8,19.4,1011.2,73.0,19.0,0
2024-12-12 16:05:00,2.6798,20.9,1.5,7.3,1021.2,60.2,6.4,0
2024-01-21 20:20:00,0.0,0.0,4.0,4.1,1030.8,67.0,3.3,0
2024-12-30 18:25:00,0.0,0.0,0.5,10.0,1018.9,58.8,10.2,0
2024-05-22 12:20:00,76.007,705.85,2.8,33.4,1006.3,53.9,37.0,0
2024-10-04 12:20:00,56.3771,513.0,1.4,27.6,1016.5,32.8,27.7,0
2024-04-09 13:50:00,9.7144,668.8,2.2,23.8,1015.0,64.2,26.6,0
2024-01-07 19:20:00,0.0,0.0,0.0,8.4,1018.3,85.0,8.0,0
2024-06-15 00:30:00,0.0,0.0,0.0,28.3,995.8,91.9,27.3,0
2024-11-11 10:25:00,49.845,496.85,3.6,22.8,1016.0,64.6,21.6,0
2024-06-04 11:30:00,20.7353,156.75,0.8,24.6,1008.1,65.0,25.2,0
2024-11-23 10:35:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-12-01 07:15:00,0.6365,0.0,0.5,6.7,1008.5,93.3,6.0,-2
2024-05-08 01:20:00,0.0,0.0,0.0,22.4,1011.2,97.0,21.2,0
2024-12-29 01:10:00,0.0,0.0,0.0,0.4,1023.2,73.1,0.6,0
2024-06-27 07:20:00,4.9242,42.75,1.2,22.3,1005.6,94.0,21.4,0
2024-11-14 13:05:00,41.0016,352.45,1.4,25.9,1008.1,64.1,26.0,0
2024-02-15 19:10:00,0.0,0.0,0.0,10.8,1024.5,67.9,9.7,0
2024-06-03 03:30:00,0.0,0.0,0.3,22.6,1004.6,79.3,21.4,0
2024-12-23 10:25:00,13.4327,170.05,1.5,4.6,1025.9,65.4,3.8,0
2024-07-30 06:30:00,7.939,114.0,1.0,28.9,998.4,84.3,29.2,0
2024-04-16 16:30:00,6.7331,47.5,1.7,21.3,1002.1,90.3,20.7,0
2024-05-20 18:50:00,0.0,0.0,0.5,25.0,1005.6,82.1,24.0,0
2024-05-24 18:10:00,10.6189,126.35,1.9,35.0,1000.0,52.7,34.7,0
2024-01-14 21:00:00,0.0,0.0,4.9,10.6,1022.6,68.9,9.9,0
2024-02-27 20:00:00,0.0,0.0,0.8,5.8,1019.0,69.1,4.5,0
2024-01-12 00:10:00,0.0,0.0,0.8,9.7,1013.8,75.5,8.2,0
2024-02-02 13:10:00,3.0483,32.3,0.0,-0.3,1021.5,89.0,-1.6,0
2024-05-14 07:40:00,30.6842,304.95,2.8,25.1,1007.9,62.2,28.0,0
2024-06-21 17:40:00,3.0148,16.15,3.1,28.5,992.5,88.5,27.4,-2
2024-11-19 00:25:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-04-26 19:10:00,-0.469,0.0,0.5,25.1,997.4,79.6,24.0,-2
2024-07-05 03:40:00,0.0,0.0,1.0,28.7,996.9,80.2,27.8,0
2024-12-16 12:35:00,67.8335,600.4,2.8,14.2,1019.3,42.5,13.0,0
2024-10-26 00:30:00,0.0,0.0,0.7,15.2,1013.2,78.3,15.3,0
2024-12-04 01:50:00,0.0,0.0,1.4,9.6,1016.9,78.3,9.3,0
2024-05-14 00:40:00,0.0,0.0,0.8,22.1,1007.3,82.0,20.9,0
2024-04-15 21:50:00,0.0,0.0,0.3,24.8,1004.5,93.7,24.0,0
2024-04-24 16:30:00,14.6721,110.2,0.0,25.0,1003.0,75.2,25.0,0
2024-10-09 22:00:00,0.0,0.0,0.3,19.8,1010.2,75.2,21.2,0
