time1,Cumulative total radiation,time2,Average total irradiance,time3,Total radiation on inclined surface,time4,WindSpeed,time5,Temprature,time6,Pressure,time7,Humidity,time8,BackTemp,time9,CSI200F-P1
  ,  ,2024/4/19 18:30,411.915,  ,  ,2024/4/19 18:30,3.8,2024/4/19 18:30,21,2024/4/19 18:30,1000.9,2024/4/19 18:30,100,2024/4/19 18:30,22.68,2024/4/19 18:30,-0.1995
  ,  ,2024/4/19 18:40,411.915,  ,  ,2024/4/19 18:40,3.1,2024/4/19 18:40,21,2024/4/19 18:40,1001.1,2024/4/19 18:40,100,2024/4/19 18:40,22.68,2024/4/19 18:40,-0.3617
  ,  ,2024/4/19 18:50,411.915,  ,  ,2024/4/19 18:50,4.8,2024/4/19 18:50,20.9,2024/4/19 18:50,1001.3,2024/4/19 18:50,100,2024/4/19 18:50,22.572,2024/4/19 18:50,-0.3617
  ,  ,2024/4/19 19:00,411.915,  ,  ,2024/4/19 19:00,6.1,2024/4/19 19:00,20.7,2024/4/19 19:00,1001.5,2024/4/19 19:00,100,2024/4/19 19:00,22.356,2024/4/19 19:00,-0.3617
  ,  ,2024/4/19 19:10,411.915,  ,  ,2024/4/19 19:10,2.7,2024/4/19 19:10,20.5,2024/4/19 19:10,1001.7,2024/4/19 19:10,100,2024/4/19 19:10,22.14,2024/4/19 19:10,-0.4602
  ,  ,2024/4/19 19:20,411.915,  ,  ,2024/4/19 19:20,5.1,2024/4/19 19:20,20.3,2024/4/19 19:20,1001.8,2024/4/19 19:20,100,2024/4/19 19:20,21.924,2024/4/19 19:20,-0.4075
  ,  ,2024/4/19 19:30,411.915,  ,  ,2024/4/19 19:30,3.6,2024/4/19 19:30,20.2,2024/4/19 19:30,1002,2024/4/19 19:30,100,2024/4/19 19:30,21.816,2024/4/19 19:30,-0.4984
  ,  ,2024/4/19 19:40,411.915,  ,  ,2024/4/19 19:40,2.7,2024/4/19 19:40,20,2024/4/19 19:40,1002.1,2024/4/19 19:40,100,2024/4/19 19:40,21.6,2024/4/19 19:40,-0.315
  ,  ,2024/4/19 19:50,411.915,  ,  ,2024/4/19 19:50,3.8,2024/4/19 19:50,19.9,2024/4/19 19:50,1002.3,2024/4/19 19:50,100,2024/4/19 19:50,21.492,2024/4/19 19:50,-0.2212
  ,  ,2024/4/19 20:00,411.915,  ,  ,2024/4/19 20:00,3.6,2024/4/19 20:00,19.9,2024/4/19 20:00,1002.6,2024/4/19 20:00,100,2024/4/19 20:00,21.492,2024/4/19 20:00,-0.3405
  ,  ,2024/4/19 20:10,411.915,  ,  ,2024/4/19 20:10,3.4,2024/4/19 20:10,19.9,2024/4/19 20:10,1002.7,2024/4/19 20:10,100,2024/4/19 20:10,21.492,2024/4/19 20:10,-0.2877
  ,  ,2024/4/19 20:20,411.915,  ,  ,2024/4/19 20:20,2.4,2024/4/19 20:20,19.9,2024/4/19 20:20,1002.8,2024/4/19 20:20,100,2024/4/19 20:20,21.492,2024/4/19 20:20,-0.4729
  ,  ,2024/4/19 20:30,411.915,  ,  ,2024/4/19 20:30,2.8,2024/4/19 20:30,20,2024/4/19 20:30,1003,2024/4/19 20:30,100,2024/4/19 20:30,21.6,2024/4/19 20:30,-0.3933
  ,  ,2024/4/19 20:40,411.915,  ,  ,2024/4/19 20:40,4.2,2024/4/19 20:40,20,2024/4/19 20:40,1003.1,2024/4/19 20:40,100,2024/4/19 20:40,21.6,2024/4/19 20:40,-0.402
  ,  ,2024/4/19 20:50,411.915,  ,  ,2024/4/19 20:50,1.8,2024/4/19 20:50,20.1,2024/4/19 20:50,1003.3,2024/4/19 20:50,100,2024/4/19 20:50,21.708,2024/4/19 20:50,-0.3175
  ,  ,2024/4/19 21:00,411.915,  ,  ,2024/4/19 21:00,3.4,2024/4/19 21:00,20.2,2024/4/19 21:00,1003.6,2024/4/19 21:00,100,2024/4/19 21:00,21.816,2024/4/19 21:00,-0.3575
  ,  ,2024/4/19 21:10,411.915,  ,  ,2024/4/19 21:10,1.8,2024/4/19 21:10,20.2,2024/4/19 21:10,1003.8,2024/4/19 21:10,100,2024/4/19 21:10,21.816,2024/4/19 21:10,-0.3575
  ,  ,2024/4/19 21:20,411.915,  ,  ,2024/4/19 21:20,1.7,2024/4/19 21:20,20.1,2024/4/19 21:20,1003.9,2024/4/19 21:20,100,2024/4/19 21:20,21.708,2024/4/19 21:20,-0.3575
  ,  ,2024/4/19 21:30,411.915,  ,  ,2024/4/19 21:30,2.4,2024/4/19 21:30,20,2024/4/19 21:30,1004.1,2024/4/19 21:30,100,2024/4/19 21:30,21.6,2024/4/19 21:30,-0.3575
  ,  ,2024/4/19 21:40,411.915,  ,  ,2024/4/19 21:40,2.4,2024/4/19 21:40,19.9,2024/4/19 21:40,1004.1,2024/4/19 21:40,100,2024/4/19 21:40,21.492,2024/4/19 21:40,-0.3575
  ,  ,2024/4/19 21:50,411.915,  ,  ,2024/4/19 21:50,3.9,2024/4/19 21:50,19.9,2024/4/19 21:50,1004.3,2024/4/19 21:50,100,2024/4/19 21:50,21.492,2024/4/19 21:50,-0.3575
  ,  ,2024/4/19 22:00,411.915,  ,  ,2024/4/19 22:00,2.2,2024/4/19 22:00,19.7,2024/4/19 22:00,1004.3,2024/4/19 22:00,100,2024/4/19 22:00,21.276,2024/4/19 22:00,-0.3439
  ,  ,2024/4/19 22:10,411.915,  ,  ,2024/4/19 22:10,3.3,2024/4/19 22:10,19.6,2024/4/19 22:10,1004.4,2024/4/19 22:10,100,2024/4/19 22:10,21.168,2024/4/19 22:10,-0.3439
  ,  ,2024/4/19 22:20,411.915,  ,  ,2024/4/19 22:20,2.5,2024/4/19 22:20,19.6,2024/4/19 22:20,1004.3,2024/4/19 22:20,100,2024/4/19 22:20,21.168,2024/4/19 22:20,-0.3439
  ,  ,2024/4/19 22:30,411.915,  ,  ,2024/4/19 22:30,2.9,2024/4/19 22:30,19.5,2024/4/19 22:30,1004.3,2024/4/19 22:30,100,2024/4/19 22:30,21.06,2024/4/19 22:30,-0.3439
  ,  ,2024/4/19 22:40,411.915,  ,  ,2024/4/19 22:40,4.8,2024/4/19 22:40,19.4,2024/4/19 22:40,1004.3,2024/4/19 22:40,100,2024/4/19 22:40,20.952,2024/4/19 22:40,-0.3735
  ,  ,2024/4/19 22:50,411.915,  ,  ,2024/4/19 22:50,3.7,2024/4/19 22:50,19.3,2024/4/19 22:50,1004.5,2024/4/19 22:50,100,2024/4/19 22:50,20.844,2024/4/19 22:50,-0.3735
  ,  ,2024/4/19 23:00,411.915,  ,  ,2024/4/19 23:00,2.3,2024/4/19 23:00,19.4,2024/4/19 23:00,1004.5,2024/4/19 23:00,100,2024/4/19 23:00,20.952,2024/4/19 23:00,-0.3735
  ,  ,2024/4/19 23:10,411.915,  ,  ,2024/4/19 23:10,3.4,2024/4/19 23:10,19.4,2024/4/19 23:10,1004.5,2024/4/19 23:10,100,2024/4/19 23:10,20.952,2024/4/19 23:10,-0.3735
  ,  ,2024/4/19 23:20,411.915,  ,  ,2024/4/19 23:20,3,2024/4/19 23:20,19.4,2024/4/19 23:20,1004.6,2024/4/19 23:20,100,2024/4/19 23:20,20.952,2024/4/19 23:20,-0.3735
  ,  ,2024/4/19 23:30,411.915,  ,  ,2024/4/19 23:30,4.8,2024/4/19 23:30,19.3,2024/4/19 23:30,1004.7,2024/4/19 23:30,100,2024/4/19 23:30,20.844,2024/4/19 23:30,-0.3735
  ,  ,2024/4/19 23:40,411.915,  ,  ,2024/4/19 23:40,4,2024/4/19 23:40,19.2,2024/4/19 23:40,1004.8,2024/4/19 23:40,100,2024/4/19 23:40,20.736,2024/4/19 23:40,-0.3735
  ,  ,2024/4/19 23:50,411.915,  ,  ,2024/4/19 23:50,3.5,2024/4/19 23:50,18.9,2024/4/19 23:50,1005.1,2024/4/19 23:50,100,2024/4/19 23:50,20.412,2024/4/19 23:50,-0.3735
  ,  ,2024/4/20 0:00,411.915,  ,  ,2024/4/20 0:00,4.3,2024/4/20 0:00,18.6,2024/4/20 0:00,1005.2,2024/4/20 0:00,100,2024/4/20 0:00,20.088,2024/4/20 0:00,-0.3735
  ,  ,2024/4/20 0:10,411.915,  ,  ,2024/4/20 0:10,6.6,2024/4/20 0:10,18.4,2024/4/20 0:10,1005.1,2024/4/20 0:10,100,2024/4/20 0:10,19.872,2024/4/20 0:10,-0.3735
  ,  ,2024/4/20 0:20,411.915,  ,  ,2024/4/20 0:20,2.3,2024/4/20 0:20,18.2,2024/4/20 0:20,1005.1,2024/4/20 0:20,100,2024/4/20 0:20,19.656,2024/4/20 0:20,-0.3735
  ,  ,2024/4/20 0:30,411.915,  ,  ,2024/4/20 0:30,5.4,2024/4/20 0:30,18,2024/4/20 0:30,1005.2,2024/4/20 0:30,100,2024/4/20 0:30,19.44,2024/4/20 0:30,-0.3735
