time1,Instantaneous value of horizontal radiation,time2,Instantaneous value of inclined radiation,time3,Instantaneous value of scattered radiation,time4,Direct radiation instantaneous value,time5,WindSpeed,time6,WindDirection,time7,Temperature,time8,Pressure,time9,Humidity,time10,ComponentTemp,time11,P1
2024/1/1 21:00,0,2024/1/1 21:00,0,2024/1/1 21:00,0,2024/1/1 21:00,0,2024/1/1 21:00,0,2024/1/1 21:00,0,2024/1/1 21:00,0,2024/1/1 21:00,0,2024/1/1 21:00,0,2024/1/1 21:00,0,2024/1/1 21:00,0
2024/1/1 21:10,0,2024/1/1 21:10,0,2024/1/1 21:10,0,2024/1/1 21:10,0,2024/1/1 21:10,0,2024/1/1 21:10,0,2024/1/1 21:10,0,2024/1/1 21:10,0,2024/1/1 21:10,0,2024/1/1 21:10,0,2024/1/1 21:10,0
2024/1/1 21:20,0,2024/1/1 21:20,0,2024/1/1 21:20,0,2024/1/1 21:20,0,2024/1/1 21:20,0,2024/1/1 21:20,0,2024/1/1 21:20,0,2024/1/1 21:20,0,2024/1/1 21:20,0,2024/1/1 21:20,0,2024/1/1 21:20,0
2024/1/1 21:30,0,2024/1/1 21:30,0,2024/1/1 21:30,0,2024/1/1 21:30,0,2024/1/1 21:30,0,2024/1/1 21:30,0,2024/1/1 21:30,0,2024/1/1 21:30,0,2024/1/1 21:30,0,2024/1/1 21:30,0,2024/1/1 21:30,0
2024/1/1 21:40,0,2024/1/1 21:40,0,2024/1/1 21:40,0,2024/1/1 21:40,0,2024/1/1 21:40,0,2024/1/1 21:40,0,2024/1/1 21:40,0,2024/1/1 21:40,0,2024/1/1 21:40,0,2024/1/1 21:40,0,2024/1/1 21:40,0
2024/1/1 21:50,0,2024/1/1 21:50,0,2024/1/1 21:50,0,2024/1/1 21:50,0,2024/1/1 21:50,0,2024/1/1 21:50,0,2024/1/1 21:50,0,2024/1/1 21:50,0,2024/1/1 21:50,0,2024/1/1 21:50,0,2024/1/1 21:50,0
2024/1/1 22:00,0,2024/1/1 22:00,0,2024/1/1 22:00,0,2024/1/1 22:00,0,2024/1/1 22:00,0,2024/1/1 22:00,0,2024/1/1 22:00,0,2024/1/1 22:00,0,2024/1/1 22:00,0,2024/1/1 22:00,0,2024/1/1 22:00,0
2024/1/1 22:10,0,2024/1/1 22:10,0,2024/1/1 22:10,0,2024/1/1 22:10,0,2024/1/1 22:10,0,2024/1/1 22:10,0,2024/1/1 22:10,0,2024/1/1 22:10,0,2024/1/1 22:10,0,2024/1/1 22:10,0,2024/1/1 22:10,0
2024/1/1 22:20,0,2024/1/1 22:20,0,2024/1/1 22:20,0,2024/1/1 22:20,0,2024/1/1 22:20,0,2024/1/1 22:20,0,2024/1/1 22:20,0,2024/1/1 22:20,0,2024/1/1 22:20,0,2024/1/1 22:20,0,2024/1/1 22:20,0
2024/1/1 22:30,0,2024/1/1 22:30,0,2024/1/1 22:30,0,2024/1/1 22:30,0,2024/1/1 22:30,0,2024/1/1 22:30,0,2024/1/1 22:30,0,2024/1/1 22:30,0,2024/1/1 22:30,0,2024/1/1 22:30,0,2024/1/1 22:30,0
2024/1/1 22:40,0,2024/1/1 22:40,0,2024/1/1 22:40,0,2024/1/1 22:40,0,2024/1/1 22:40,0,2024/1/1 22:40,0,2024/1/1 22:40,0,2024/1/1 22:40,0,2024/1/1 22:40,0,2024/1/1 22:40,0,2024/1/1 22:40,0
2024/1/1 22:50,0,2024/1/1 22:50,0,2024/1/1 22:50,0,2024/1/1 22:50,0,2024/1/1 22:50,0,2024/1/1 22:50,0,2024/1/1 22:50,0,2024/1/1 22:50,0,2024/1/1 22:50,0,2024/1/1 22:50,0,2024/1/1 22:50,0
