time,pv_power,radiation,wind_speed,env_temperature,pressure,humidity,component_temperature
2025-01-01 00:00:00,0.0,0.0,1.0,8.6,1020.7,54.2,6.1
2025-01-01 00:05:00,0.0,0.0,0.0,8.5,1020.8,54.6,5.6
2025-01-01 00:10:00,0.0,0.0,0.0,8.3,1020.6,56.8,4.9
2025-01-01 00:15:00,0.0,0.0,0.8,7.5,1020.7,65.1,4.5
2025-01-01 00:20:00,0.0,0.0,0.4,6.6,1020.7,68.5,4.1
2025-01-01 00:25:00,0.0,0.0,0.0,6.3,1020.7,70.2,3.6
2025-01-01 00:30:00,0.0,0.0,0.0,6.2,1020.8,70.5,3.3
2025-01-01 00:35:00,0.0,0.0,0.0,6.2,1020.6,70.8,3.4
2025-01-01 00:40:00,0.0,0.0,0.0,6.3,1020.5,70.2,3.4
2025-01-01 00:45:00,0.0,0.0,0.0,6.4,1020.4,68.6,3.3
2025-01-01 00:50:00,0.0,0.0,0.0,6.4,1020.4,69.1,3.3
2025-01-01 00:55:00,0.0,0.0,0.0,6.4,1020.4,67.3,3.5
2025-01-01 01:00:00,0.0,0.0,0.0,6.5,1020.5,66.1,3.4
2025-01-01 01:05:00,0.0,0.0,0.0,6.4,1020.4,65.5,3.5
2025-01-01 01:10:00,0.0,0.0,0.0,6.4,1020.5,66.1,3.3
2025-01-01 01:15:00,0.0,0.0,0.0,6.3,1020.4,69.4,3.1
2025-01-01 01:20:00,0.0,0.0,0.0,6.0,1020.4,69.0,3.1
2025-01-01 01:25:00,0.0,0.0,0.0,6.0,1020.4,67.7,3.6
2025-01-01 01:30:00,0.0,0.0,0.0,6.1,1020.4,67.5,3.2
2025-01-01 01:35:00,0.0,0.0,0.0,6.0,1020.4,68.0,3.1
2025-01-01 01:40:00,0.0,0.0,0.0,6.0,1020.4,67.5,3.3
2025-01-01 01:45:00,0.0,0.0,0.0,5.9,1020.3,68.9,3.2
2025-01-01 01:50:00,0.0,0.0,0.0,5.8,1020.3,69.5,3.3
2025-01-01 01:55:00,0.0,0.0,0.0,5.7,1020.4,70.9,2.8
2025-01-01 02:00:00,0.0,0.0,0.0,5.4,1020.4,72.3,2.3
2025-01-01 02:05:00,0.0,0.0,0.0,5.2,1020.3,73.5,2.3
2025-01-01 02:10:00,0.0,0.0,0.0,5.1,1020.3,74.9,2.1
2025-01-01 02:15:00,0.0,0.0,0.0,4.8,1020.2,75.5,1.9
2025-01-01 02:20:00,0.0,0.0,0.0,4.7,1020.2,76.4,1.8
2025-01-01 02:25:00,0.0,0.0,0.0,4.6,1020.1,79.7,2.1
2025-01-01 02:30:00,0.0,0.0,0.3,4.7,1020.3,84.1,2.3
2025-01-01 02:35:00,0.0,0.0,0.0,4.5,1020.3,86.2,2.0
2025-01-01 02:40:00,0.0,0.0,0.0,4.2,1020.2,86.1,2.0
2025-01-01 02:45:00,0.0,0.0,0.0,4.1,1020.2,84.7,1.6
2025-01-01 02:50:00,0.0,0.0,0.0,4.1,1020.2,83.9,1.4
2025-01-01 02:55:00,0.0,0.0,0.0,4.1,1020.2,82.8,1.5
2025-01-01 03:00:00,0.0,0.0,0.0,4.3,1020.2,81.0,2.1
2025-01-01 03:05:00,0.0,0.0,0.0,4.4,1020.2,79.4,1.9
2025-01-01 03:10:00,0.0,0.0,0.0,4.4,1020.1,79.4,1.9
2025-01-01 03:15:00,0.0,0.0,0.0,4.3,1020.0,79.6,1.5
2025-01-01 03:20:00,0.0,0.0,0.0,4.3,1020.0,79.2,2.3
2025-01-01 03:25:00,0.0,0.0,0.0,4.5,1020.1,78.3,2.1
2025-01-01 03:30:00,0.0,0.0,0.0,4.5,1020.0,78.7,2.1
2025-01-01 03:35:00,0.0,0.0,0.0,4.6,1019.9,77.5,2.3
2025-01-01 03:40:00,0.0,0.0,0.0,4.9,1020.0,76.1,2.0
2025-01-01 03:45:00,0.0,0.0,0.0,4.9,1019.9,75.5,2.0
2025-01-01 03:50:00,0.0,0.0,0.0,5.1,1019.9,74.3,2.0
2025-01-01 03:55:00,0.0,0.0,0.0,5.0,1019.8,73.7,2.1
2025-01-01 04:00:00,0.0,0.0,1.4,4.8,1019.7,76.8,2.6
2025-01-01 04:05:00,0.0,0.0,1.4,4.7,1019.8,75.4,3.5
2025-01-01 04:10:00,0.0,0.0,1.3,4.4,1019.7,77.4,3.3
2025-01-01 04:15:00,0.0,0.0,1.1,4.2,1019.7,78.3,3.2
2025-01-01 04:20:00,0.0,0.0,1.1,4.1,1019.7,78.3,3.1
2025-01-01 04:25:00,0.0,0.0,1.1,4.2,1019.8,77.0,3.3
2025-01-01 04:30:00,0.0,0.0,1.0,4.2,1019.7,77.1,3.1
2025-01-01 04:35:00,0.0,0.0,1.1,4.2,1019.6,77.5,3.2
2025-01-01 04:40:00,0.0,0.0,1.3,4.4,1019.5,77.1,3.5
2025-01-01 04:45:00,0.0,0.0,1.2,4.5,1019.6,76.5,3.5
2025-01-01 04:50:00,0.0,0.0,1.5,4.5,1019.6,76.5,3.6
2025-01-01 04:55:00,0.0,0.0,1.4,4.7,1019.4,75.5,3.9
2025-01-01 05:00:00,0.0,0.0,1.6,5.0,1019.4,73.8,3.6
2025-01-01 05:05:00,0.0,0.0,0.0,4.9,1019.3,73.9,3.0
2025-01-01 05:10:00,0.0,0.0,0.0,4.7,1019.3,74.2,2.7
2025-01-01 05:15:00,0.0,0.0,0.0,4.7,1019.3,74.4,2.0
2025-01-01 05:20:00,0.0,0.0,0.0,4.5,1019.3,75.1,1.5
2025-01-01 05:25:00,0.0,0.0,0.0,4.3,1019.3,75.4,1.1
2025-01-01 05:30:00,0.0,0.0,0.0,4.2,1019.3,76.4,0.9
2025-01-01 05:35:00,0.0,0.0,0.0,4.2,1019.4,77.0,1.0
2025-01-01 05:40:00,0.0,0.0,0.0,4.2,1019.4,76.7,0.9
2025-01-01 05:45:00,0.0,0.0,0.0,4.1,1019.5,76.7,1.1
2025-01-01 05:50:00,0.0,0.0,0.5,4.1,1019.5,79.1,1.6
2025-01-01 05:55:00,0.0,0.0,0.0,3.8,1019.5,84.9,1.4
2025-01-01 06:00:00,0.0,0.0,0.6,3.3,1019.6,87.1,1.4
2025-01-01 06:05:00,0.0,0.0,0.0,3.2,1019.5,87.9,1.2
2025-01-01 06:10:00,0.0,0.0,0.0,3.1,1019.6,87.5,0.8
2025-01-01 06:15:00,0.0,0.0,0.0,3.1,1019.7,87.0,1.0
2025-01-01 06:20:00,0.0,0.0,0.0,3.3,1019.7,85.8,0.6
2025-01-01 06:25:00,0.0,0.0,0.0,3.3,1019.7,85.0,0.5
2025-01-01 06:30:00,0.0,0.0,0.0,3.2,1019.7,84.6,0.4
2025-01-01 06:35:00,0.0,0.0,0.2,3.3,1019.6,84.5,0.5
2025-01-01 06:40:00,0.0,0.0,0.5,3.9,1019.7,80.3,1.2
2025-01-01 06:45:00,0.0,0.0,1.1,4.3,1019.7,77.6,1.6
2025-01-01 06:50:00,0.0,0.0,0.0,4.4,1019.7,77.2,1.5
2025-01-01 06:55:00,0.0,0.0,0.3,4.2,1019.7,83.8,1.5
2025-01-01 07:00:00,0.0,0.0,0.1,3.5,1019.9,88.7,1.1
2025-01-01 07:05:00,0.0,0.0,0.0,3.2,1019.9,90.3,0.7
2025-01-01 07:10:00,0.0,0.0,0.0,2.8,1020.0,90.1,0.5
2025-01-01 07:15:00,0.0,0.0,0.0,2.5,1020.1,90.7,0.6
2025-01-01 07:20:00,0.0,0.0,0.9,2.4,1020.1,91.3,0.6
2025-01-01 07:25:00,0.0,0.0,0.0,2.5,1020.1,91.8,0.8
2025-01-01 07:30:00,1.0907,3.0,0.0,2.5,1020.2,91.4,0.4
2025-01-01 07:35:00,2.3981,7.0,0.0,2.5,1020.3,90.9,0.3
2025-01-01 07:40:00,3.765,15.0,0.0,2.4,1020.3,91.0,0.6
2025-01-01 07:45:00,5.7053,23.0,0.0,2.5,1020.4,91.5,1.1
2025-01-01 07:50:00,7.8814,43.2,0.0,2.6,1020.4,91.7,1.4
2025-01-01 07:55:00,10.6238,43.0,0.0,2.9,1020.4,91.9,2.1
2025-01-01 08:00:00,13.5018,55.0,0.0,3.3,1020.4,90.9,2.7
2025-01-01 08:05:00,16.4225,67.0,0.0,3.5,1020.5,89.7,3.4
2025-01-01 08:10:00,19.6472,108.9,0.0,3.7,1020.5,87.7,4.1
2025-01-01 08:15:00,21.9289,108.9,0.0,3.8,1020.5,88.0,4.9
2025-01-01 08:20:00,22.7807,69.0,0.0,4.0,1020.5,87.8,5.8
2025-01-01 08:25:00,22.9185,75.0,0.0,4.1,1020.5,87.1,6.8
2025-01-01 08:30:00,22.0573,82.0,0.0,4.4,1020.5,87.3,8.0
2025-01-01 08:35:00,34.6675,88.0,0.0,4.6,1020.7,86.8,9.1
2025-01-01 08:40:00,35.9464,95.0,0.0,5.0,1020.6,87.3,10.7
2025-01-01 08:45:00,36.6125,102.0,0.0,5.3,1020.6,85.8,11.3
2025-01-01 08:50:00,49.1181,108.0,0.0,5.6,1020.6,86.4,11.7
2025-01-01 08:55:00,50.0699,114.0,0.0,5.9,1020.7,85.8,12.3
2025-01-01 09:00:00,50.5011,120.0,0.2,6.3,1020.8,85.5,12.9
2025-01-01 09:05:00,62.9078,126.0,0.4,6.6,1020.8,84.2,13.8
2025-01-01 09:10:00,64.528,133.0,0.6,6.8,1020.8,82.7,14.1
2025-01-01 09:15:00,65.0049,139.0,0.0,7.1,1020.8,82.1,15.1
2025-01-01 09:20:00,74.724,146.0,0.3,7.4,1020.8,80.9,15.6
2025-01-01 09:25:00,77.4941,151.0,0.8,7.5,1021.0,80.3,15.6
2025-01-01 09:30:00,78.9215,156.0,0.6,8.0,1020.9,79.1,17.6
2025-01-01 09:35:00,87.301,162.0,0.9,8.3,1021.0,76.2,18.8
2025-01-01 09:40:00,90.4679,165.0,0.1,8.6,1021.1,74.3,19.0
2025-01-01 09:45:00,94.7421,170.0,0.0,8.7,1021.0,74.5,20.2
2025-01-01 09:50:00,61.8959,173.0,0.0,9.1,1021.0,72.9,21.5
2025-01-01 09:55:00,62.2724,178.0,0.2,9.2,1021.1,71.6,21.1
2025-01-01 10:00:00,62.586,180.0,0.4,9.4,1021.1,70.4,21.3
2025-01-01 10:05:00,70.7099,279.9,0.0,9.6,1021.0,70.1,22.1
2025-01-01 10:10:00,71.0294,185.0,1.1,9.8,1021.1,69.2,22.6
2025-01-01 10:15:00,71.4321,188.0,1.4,10.0,1021.0,68.1,23.0
2025-01-01 10:20:00,48.28,192.0,1.2,9.9,1021.0,68.1,21.9
2025-01-01 10:25:00,48.6427,193.0,1.3,10.0,1021.0,66.4,22.0
2025-01-01 10:30:00,48.9099,194.0,1.5,10.3,1021.1,61.5,22.5
2025-01-01 10:35:00,50.8558,197.0,1.9,10.8,1021.0,56.8,22.3
2025-01-01 10:40:00,51.0297,198.0,0.8,11.1,1021.1,60.3,24.3
2025-01-01 10:45:00,51.3057,199.0,1.3,11.3,1021.1,56.3,25.1
2025-01-01 10:50:00,47.8321,200.0,1.1,11.4,1021.1,55.4,24.3
2025-01-01 10:55:00,47.987,205.0,3.9,11.4,1020.8,54.2,22.8
2025-01-01 11:00:00,46.1958,204.0,2.3,11.6,1020.8,54.8,23.1
2025-01-01 11:05:00,46.2946,204.0,1.4,11.9,1020.6,51.8,24.3
2025-01-01 11:10:00,46.5147,204.0,1.9,12.2,1020.2,48.5,25.1
2025-01-01 11:15:00,46.7104,207.0,2.0,12.1,1020.4,49.6,25.0
2025-01-01 11:20:00,34.1948,396.9,2.4,12.5,1020.4,49.3,26.6
2025-01-01 11:25:00,34.3154,208.0,1.9,12.5,1020.2,49.6,26.1
2025-01-01 11:30:00,34.4626,209.0,2.0,12.7,1020.1,48.4,25.6
2025-01-01 11:35:00,34.5055,208.0,0.9,13.0,1020.1,45.9,27.0
2025-01-01 11:40:00,34.6571,432.0,1.6,13.4,1020.1,45.3,28.3
2025-01-01 11:45:00,34.8095,439.2,2.5,13.3,1019.8,44.7,26.8
2025-01-01 11:50:00,31.8252,444.6,1.9,13.3,1019.8,45.1,27.4
2025-01-01 11:55:00,31.8709,210.0,3.4,13.2,1019.6,45.4,25.3
2025-01-01 12:00:00,31.9505,211.0,1.2,13.6,1019.5,43.4,27.3
2025-01-01 12:05:00,29.9793,211.0,2.3,13.8,1019.4,43.7,27.3
2025-01-01 12:10:00,30.0694,209.0,1.0,13.8,1019.2,43.0,28.1
2025-01-01 12:15:00,30.0633,208.0,0.9,14.0,1019.0,42.9,29.8
2025-01-01 12:20:00,30.1368,209.0,1.9,14.0,1019.0,43.3,28.0
2025-01-01 12:25:00,30.117,475.2,1.3,13.7,1019.0,43.9,28.0
2025-01-01 12:30:00,30.0212,215.0,1.7,13.9,1018.8,43.1,27.6
